Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ecuador,ECU,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,92.69999695,,90.72000122,,95.83000183,95.81999969,96.08999634,96.18000031,96.83000183,96.34999847,95.94999695,96.16999817,95.52999878,97.26999664,97.25,97,97.54000092,96.5,94.87999725,95.08000183,96.33000183,96.37000275,,
"Egypt, Arab Rep.",EGY,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,73,,,,,,,,,85,85,,,,88,,89,92,,,,88,,,,,92.23999786,,
Euro area,EMU,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,78,,,,,,87,,,,,,,,,,93.27239227,,,,,,
Spain,ESP,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,100,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,,100,,,,
Estonia,EST,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,100,,,,,,,,,,,100,,,,,,,,,,99.98999786,,,
Ethiopia,ETH,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,34,,,,,,38.61000061,,,,49.90000153,44.60596848,,55,,,,54.83000183,,,,,71.78572083,72.75482178,,,,,,,
European Union,EUU,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,69.0399704,68.91481018,69.03347015,69.5427475,69.9642868,70.22708893,70.61126709,71.13565826,71.36115265,68.86347961,69.2314682,70.49311066,70.44969177,70.96717834,71.07100677,69.76947021,69.97825623,70.57003021,69.70758057,70.06455994,71.18359375,71.60292053,72.36338043,72.73670959,73.31680298,73.80413818,74.54746246,74.27863312,74.74801636,74.82182312,75.09102631,75.34409332,75.37422943,
Finland,FIN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.58000183,,,
France,FRA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,FRO,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,93,,,,,,,,,,,,,,,,,,,88.50414276,,,,,,,,,93.98143005,90.63999939,,
United Kingdom,GBR,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,100,,,,,,,,,,,,100,,,100,99.92053986,,,,100,,
Ghana,GHA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,71,,,79.70999908,,,,,,,86,,,,87.59999847,,,87.78218079,,,93.48000336,,85.86000061,,
Gibraltar,GIB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,28,,,,,,,47,,45.93000031,,,,,31,,56.40000153,,46,,,,54,,,60.33000183,,,
"Gambia, The",GMB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,53,,,,,,,,,,,,,60.7779007,,67,,,71.07904816,,,67.49284363,74.69999695,,
Guinea-Bissau,GNB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,59,,,,,,,,,,,,,,60.40235138,,,,,75.31854248,,,68.94999695,,
Equatorial Guinea,GNQ,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,97,,,,,,,,,,97.96704102,,,,,,,,,,,,,,
Greece,GRC,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,99,,,,,,,,,,99,,,,,,,,99,,,,,,,,,,,,,,,
Grenada,GRD,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,76,,,,,,81.72000122,,82,,,,87.83999634,,,,,,94,92,93.34999847,95.17960358,,,95,,,,94.98435211,,
Guam,GUM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,99.94999695,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,93.09893799,,,,,96.68966675,,,,,,99.14366913,,97.90000153,,
High income,HIC,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,98.77773285,98.82607269,,,,,,,,,,,,,,,99.25074005,99.28707123,,,
"Hong Kong SAR, China",HKG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,91.23000336,,,90.87000275,91.79000092,,94,,93.94999695,95.15000153,95.93000031,94.98000336,95.06999969,95.68000031,96.01000214,96.12999725,,96.51999664,96.08000183,,,,,
Heavily indebted poor countries (HIPC),HPC,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,58.57593918,58.24880981,58.2971611,58.45611954,58.16136169,58.44213104,58.91057968,58.71475983,59.54914093,60.30429077,60.9916687,62.80179977,63.20901108,63.77595901,63.97592926,62.51124954,64.08904266,64.49539948,64.9545517,66.18016815,68.66780853,70.3895874,71.61354828,72.43956757,73.19496155,73.88079834,74.90490723,75.58171844,75.73789978,76.0194931,76.52610016,76.99830627,77.34925842,
Croatia,HRV,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,100,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,99.76000214,,,
Haiti,HTI,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,82,,,72.34671783,,,,,,85.44000244,,,,82.99424744,88.87232208,,,,,,,
Hungary,HUN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.69999695,,,
IBRD only,IBD,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,85.70929718,86.09636688,86.38748932,86.73911285,87.13665009,87.49170685,88.7224884,89.74768066,90.06632996,90.39929199,90.76989746,91.18785858,91.72898865,92.10925293,92.46398163,92.760849,93.28661346,93.81227875,93.86477661,93.88303375,94.15901184,94.51837921,94.79773712,95.10610962,95.34342194,95.40634155,95.54627228,95.72891998,96.98474884,97.19000244,97.3572464,97.54109955,97.69673157,
IDA & IBRD total,IBT,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,80.92794037,81.29682922,81.61859131,81.92372894,82.23956299,82.54167175,83.54522705,84.49060822,84.86239624,84.89975739,85.28411102,85.83912659,86.40125275,86.81674957,87.07762146,86.84992218,87.24266052,87.73130798,87.84282684,88.34014893,88.63523865,88.98930359,89.49949646,89.79395294,90.11312866,90.32953644,90.50328064,90.57351685,91.5072403,91.6210022,91.76502991,91.92601013,92.04618073,
IDA total,IDA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,61.24031067,62.01546097,62.94823837,63.6921196,64.2460022,64.87885284,65.5177002,66.55055237,67.50993347,66.91197205,67.59459686,68.78027344,69.52498627,70.19154358,70.31381226,68.6420517,68.95565033,69.73908997,70.37519073,72.63204956,73.37580872,74.16194916,75.7071228,76.35520172,77.29075623,78.27147675,78.87373352,79.01345062,79.55568695,79.7808609,80.17517853,80.54106903,80.83972168,
IDA blend,IDB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,65.43034363,67.5477829,69.76270294,70.6466217,71.51493073,72.36724854,73.08377838,73.67424774,74.33468628,70.70191193,71.29250336,71.77262115,72.62197113,73.15466309,72.59812164,73.14775085,71.68022156,73.10858154,74.13413239,74.52567291,74.65453339,75.7983017,75.66899109,76.43251801,77.17913818,77.86374664,77.95545197,77.26878357,77.46414948,77.95310974,78.39800262,78.83453369,79.26641083,
Indonesia,IDN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,99,,97,,99,99,,99,,,100,100,100,99.58000183,100,,100,,,,
IDA only,IDX,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,59.233181,59.35675049,59.69498062,60.36297989,60.76002884,61.26227188,61.83221817,63.04999924,64.13108063,65.02362823,65.73383331,67.26586151,67.95954132,68.69210815,69.15540314,66.35469055,67.57099152,68.02438354,68.45968628,71.66594696,72.72363281,73.32958984,75.72644806,76.31613922,77.34690857,78.47537231,79.32951355,79.87628174,80.58656311,80.67932892,81.04811859,81.37976837,81.61519623,
Isle of Man,IMN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,62,,,,,,,,,,76,,,,,81,,,,,86,,,,,90.29386902,,,,94.59999847,,97,97,
